userId,songid,track_popularity,duration_ms
1,6f807x0ima9a1j3VPbc7VN,66,194754
1,0r7CVbZTWZgbTCYdfa2P31,67,162600
1,1z1Hg7Vb0AhHDiEmnDE79l,70,176616
1,75FpbthrwQmzHlBJLuGdC7,60,169093
1,1e8PAfcKUYoKkxPhrHqw4x,69,189052
1,7fvUMiyapMsRRxr07cU8Ef,67,163049
1,2OAylPUDDfwRGfe0lYqlCQ,62,187675
1,6b1RNvAcJjQH73eZO4BLAB,69,207619
1,7bF6tCO3gFb8INrEDcjNT5,68,193187
1,1IXGILkPm0tOCNeq00kCPa,67,253040
1,3eFJI470ALf1EYjywPRsJy,58,207894
1,3iJeF2izF1QcpCgUc97BLl,67,203733
1,6e0CvGZf7CouOpYF8toXHC,67,192507
1,3eLdNmnRWr9gIyBcqTSSti,68,164516
1,55nMnifaQWKe3f9cbwOXwx,63,255238
1,1EJgymgJHcjSOGSHcYaxvW,66,188230
1,5WaXMQMlQpq8pwIdaFP43L,60,173548
1,3TjLsDgL0bTbSQIF6M5Ki8,65,189375
1,0GfS3y8Jd7SHWd9R51s7Fo,69,159404
1,2v3DuCVBbopteJqdM7aKQK,35,185366
1,4QAUGy6k7c3IOAhgWz52r7,70,215238
1,3Ciaf6WgvG95TGRGxQ1yO8,64,170667
1,1mC2UjWt25Oixtqu7C6suL,62,210968
1,2wenGTypSYHXl1sN1pNC7X,70,193548
1,4sqABRRGU7CzcHXCyxUzFw,58,205093
1,5dy3WUywjZcalTno1io8TQ,63,172800
1,2M9GeaCQXrV12J0wzBxIwi,66,192381
1,1zzOMDmkRZy0g9f4JTAZKn,8,175000
1,4OFFY6L5ywYM1TwhXX69wQ,62,166875
1,1hr5Y2i4NlE3LPvQZ9Q5Ao,30,155080
1,1aT7vltGhkjyMI3F3aO3A4,56,178125
1,4YaU1EjXIkdRdkOI4cCZys,56,172000
1,0Fc9QSMX6fgEBgDjUax7t7,58,177097
1,7AasLZ4TYgh7dbJXZxcZVE,60,169935
1,7p4jpmyBnOpqQ3rSGJzZ7w,60,220413
1,4sLtguRBis05qfsBgJ1IdN,55,185273
1,508lUjbGcPrL0CfvHC7UvI,59,170164
1,7FDaS1k08rwMoAThmzUkOZ,63,172360
1,6m8SIT10j41SPpPFOknTmP,67,247385
1,5Vwgf4MVO0vLv8fbxaGGiW,55,218015
1,5scxjvcdozadBoRRN0UMaM,56,200444
1,6oJ6le65B3SEqPwMRNXWjY,87,228267
1,2tilX6FUl0IwFgiOYjuc6V,62,150160
1,3yNZ5r3LKfdmjoS3gkhUCT,83,194840
1,478QYNLw6dhTTx4oEkhBeq,55,177466
1,3C4fzUgIP3ahkhOBdP38GM,61,218373
1,2k4c9ZAlIYHyXiJ4i20FO7,56,144073
1,79zGYOcAe2VmJsyQiJX31a,57,193861
1,6B2NRQjtSOtqi67d72r5cx,56,200625
1,08rBIlTMXlF5uEHobZglxv,53,166237
1,1BmdqDrBU5eohtRwHBls6C,56,171500
1,5rxKInBVj0QE87KenyDiLf,34,266719
1,3kgKVcBpBGuSeaEC0AZGlb,74,204027
